cloud.google.com/go,v0.54.0,Apache 2.0
github.com/Azure/go-autorest/autorest,v0.11.1,Apache 2.0
github.com/Azure/go-autorest/autorest/adal,v0.9.5,Apache 2.0
github.com/Azure/go-autorest/autorest/date,v0.3.0,Apache 2.0
github.com/Azure/go-autorest/logger,v0.2.0,Apache 2.0
github.com/Azure/go-autorest/tracing,v0.6.0,Apache 2.0
github.com/beorn7/perks,v1.0.1,MIT
github.com/cespare/xxhash/v2,v2.1.1,MIT
github.com/davecgh/go-spew,v1.1.1,ISC
github.com/evanphx/json-patch,v4.9.0,New BSD
github.com/form3tech-oss/jwt-go,v3.2.2,MIT
github.com/fsnotify/fsnotify,v1.4.9,New BSD
github.com/go-logr/logr,v0.3.0,Apache 2.0
github.com/go-logr/zapr,v0.2.0,Apache 2.0
github.com/gogo/protobuf,v1.3.1,New BSD
github.com/golang/groupcache,v0.0.0-20200121045136-8c9f03a8e57e,Apache 2.0
github.com/golang/protobuf,v1.4.3,New BSD
github.com/google/go-cmp,v0.5.2,New BSD
github.com/google/gofuzz,v1.1.0,Apache 2.0
github.com/google/uuid,v1.1.2,New BSD
github.com/googleapis/gnostic,v0.5.1,Apache 2.0
github.com/hashicorp/golang-lru,v0.5.4,Mozilla Public License 2.0
github.com/imdario/mergo,v0.3.10,New BSD
github.com/json-iterator/go,v1.1.10,MIT
github.com/matttproud/golang_protobuf_extensions,v1.0.2-0.20181231171920-c182affec369,Apache 2.0
github.com/modern-go/concurrent,v0.0.0-20180306012644-bacd9c7ef1dd,Apache 2.0
github.com/modern-go/reflect2,v1.0.1,Apache 2.0
github.com/openshift/api,v0.0.0-20210317213936-dcbf045ae1b8,Apache 2.0
github.com/openshift/client-go,v0.0.0-20210112165513-ebc401615f47,Apache 2.0
github.com/pkg/errors,v0.9.1,Simplified BSD
github.com/prometheus-operator/prometheus-operator/pkg/apis/monitoring,v0.46.0,Apache 2.0
github.com/prometheus-operator/prometheus-operator/pkg/client,v0.46.0,Apache 2.0
github.com/prometheus/client_golang,v1.7.1,Apache 2.0
github.com/prometheus/client_model,v0.2.0,Apache 2.0
github.com/prometheus/common,v0.10.0,"Apache 2.0,New BSD"
github.com/prometheus/procfs,v0.2.0,Apache 2.0
github.com/spf13/pflag,v1.0.5,New BSD
go.uber.org/atomic,v1.6.0,MIT
go.uber.org/multierr,v1.5.0,MIT
go.uber.org/zap,v1.15.0,MIT
golang.org/x/crypto,v0.0.0-20201002170205-7f63de1d35b0,New BSD
golang.org/x/net,v0.0.0-20201110031124-69a78807bb2b,New BSD
golang.org/x/oauth2,v0.0.0-20200107190931-bf48bf16ab8d,New BSD
golang.org/x/sys,v0.0.0-20201112073958-5cba982894dd,New BSD
golang.org/x/text,v0.3.4,New BSD
golang.org/x/time,v0.0.0-20200630173020-3af7569d3a1e,New BSD
gomodules.xyz/jsonpatch/v2,v2.1.0,Apache 2.0
google.golang.org/protobuf,v1.25.0,New BSD
gopkg.in/inf.v0,v0.9.1,New BSD
gopkg.in/yaml.v2,v2.3.0,"Apache 2.0,MIT"
gopkg.in/yaml.v3,v3.0.0-20200615113413-eeeca48fe776,MIT
k8s.io/api,v0.20.1,Apache 2.0
k8s.io/apiextensions-apiserver,v0.20.1,Apache 2.0
k8s.io/apimachinery,v0.20.1,Apache 2.0
k8s.io/client-go,v0.20.1,Apache 2.0
k8s.io/component-base,v0.20.1,Apache 2.0
k8s.io/klog/v2,v2.4.0,Apache 2.0
k8s.io/kube-openapi,v0.0.0-20201113171705-d219536bb9fd,Apache 2.0
k8s.io/utils,v0.0.0-20201110183641-67b214c5f920,"Apache 2.0,New BSD"
sigs.k8s.io/controller-runtime,v0.8.0,Apache 2.0
sigs.k8s.io/structured-merge-diff/v4,v4.0.2,Apache 2.0
sigs.k8s.io/yaml,v1.2.0,MIT
